zipcode,Median income,Median home value,Less than High School Diploma,High School Graduate,Associate degree,Bachelor degree,Master degree,Professional school degree,Doctorate degree,Unemployment rate,Population Density
11224,27481,317800,0.221,0.421,0.066,0.192,0.077,0.015,0.007,0.54,30841
11225,42922,615700,0.169,0.484,0.061,0.181,0.082,0.016,0.006,0.37,64295
11226,40734,480500,0.202,0.528,0.051,0.145,0.058,0.011,0.004,0.37,78775
11228,61893,681700,0.22,0.44,0.06,0.17,0.08,0.03,0.01,0.42,28428
11229,51725,524100,0.16,0.42,0.07,0.23,0.09,0.02,0.01,0.42,36934
11230,42170,598000,0.16,0.38,0.09,0.22,0.11,0.02,0.02,0.41,46966
11231,78174,912000,0.14,0.24,0.04,0.33,0.19,0.05,0.02,0.28,23441
11232,43595,582900,0.36,0.37,0.04,0.13,0.08,0.01,0.01,0.34,22028
11233,34492,551900,0.233,0.504,0.07,0.133,0.045,0.01,0.005,0.45,49746
11234,68431,488200,0.11,0.48,0.1,0.19,0.09,0.02,0.01,0.36,11627
11235,41639,531000,0.1,0.37,0.1,0.28,0.09,0.03,0.01,0.46,35237
11236,61061,478700,0.154,0.499,0.098,0.161,0.074,0.011,0.002,0.35,26112
11237,40372,464500,0.51,0.279,0.035,0.124,0.044,0.006,0.001,0.38,50927
11238,65315,656800,0.1,0.29,0.05,0.31,0.18,0.05,0.02,0.26,44555
11239,26275,354600,0.198,0.493,0.092,0.116,0.09,0.007,0.003,0.56,23470
11351,,,None,None,None,None,None,None,None,,
11354,46566,380600,0.208,0.428,0.088,0.196,0.061,0.015,0.004,0.41,25324
11355,41884,507500,0.278,0.356,0.1,0.177,0.065,0.018,0.007,0.42,49492
11356,58465,562900,0.203,0.488,0.066,0.18,0.054,0.007,0.002,0.35,14915
11357,71978,590800,0.13,0.45,0.08,0.22,0.08,0.03,0.01,0.4,13973
11358,65722,625200,0.16,0.4,0.07,0.23,0.1,0.02,0.01,0.39,19260
11359,,,None,None,None,None,None,None,None,,
11360,76183,524000,0.07,0.39,0.07,0.25,0.15,0.06,0.02,0.41,13251
11361,75335,574200,0.12,0.4,0.07,0.25,0.12,0.02,0.02,0.35,16269
11362,82332,538000,0.09,0.33,0.05,0.31,0.15,0.04,0.02,0.34,7081
11363,90799,714200,0.06,0.3,0.1,0.33,0.13,0.06,0.02,0.34,8045
11364,72909,510800,0.11,0.38,0.07,0.26,0.14,0.03,0.01,0.37,14013
11365,55492,580300,0.14,0.4,0.1,0.21,0.1,0.03,0.01,0.39,16923
11366,71350,610100,0.13,0.35,0.07,0.28,0.13,0.02,0.02,0.39,12362
11367,56608,376400,0.13,0.36,0.09,0.25,0.13,0.03,0.01,0.38,17252
11368,45964,480900,0.398,0.424,0.06,0.086,0.02,0.01,0.003,0.32,41768
11369,53617,464500,0.256,0.522,0.056,0.112,0.042,0.011,0.001,0.36,36170
11370,52500,517100,0.313,0.424,0.069,0.124,0.05,0.017,0.004,0.51,27899
11371,,,None,None,None,None,None,None,None,,
11372,48683,265500,0.25,0.39,0.07,0.19,0.08,0.01,0.01,0.33,90360
11373,47667,499600,0.302,0.365,0.077,0.185,0.051,0.014,0.007,0.37,66007
11374,52532,297300,0.09,0.33,0.09,0.3,0.12,0.04,0.02,0.36,46664
11375,72000,358300,0.07,0.29,0.07,0.3,0.18,0.05,0.03,0.35,34707
11377,49886,395800,0.251,0.371,0.092,0.202,0.067,0.012,0.006,0.34,35274
11378,57474,538600,0.177,0.52,0.081,0.153,0.053,0.011,0.005,0.37,13697
11379,69843,543800,0.158,0.473,0.065,0.191,0.089,0.016,0.007,0.4,16785
11385,50799,495800,0.225,0.524,0.055,0.132,0.052,0.007,0.004,0.39,27290
11411,83099,387900,0.1,0.51,0.08,0.2,0.09,0.01,0.01,0.36,15875
11412,70672,385700,0.132,0.54,0.113,0.15,0.058,0.004,0.003,0.35,21186
11413,78667,406200,0.142,0.504,0.094,0.167,0.077,0.009,0.006,0.33,12553
11414,66790,501700,0.172,0.495,0.082,0.165,0.068,0.01,0.007,0.4,11370
11415,63549,289800,0.11,0.33,0.11,0.25,0.16,0.03,0.02,0.32,34042
11416,56724,447200,0.26,0.44,0.08,0.15,0.05,0.01,0.01,0.37,37347
11417,62086,442900,0.211,0.498,0.082,0.138,0.056,0.012,0.003,0.35,25886
11418,60691,427000,0.239,0.434,0.069,0.161,0.078,0.013,0.005,0.34,22201
11419,56735,442900,0.266,0.503,0.053,0.136,0.037,0.005,0.001,0.37,41805
11420,59832,421200,0.223,0.519,0.071,0.138,0.039,0.008,0.002,0.35,21345
11421,60897,414700,0.236,0.478,0.073,0.148,0.055,0.007,0.003,0.34,30376
11422,84824,413800,0.1,0.49,0.1,0.21,0.07,0.02,0.01,0.28,15456
11423,60892,422200,0.217,0.452,0.069,0.172,0.058,0.024,0.008,0.37,21254
11424,,,None,None,None,None,None,None,None,,
11425,,,None,None,None,None,None,None,None,,
11426,82301,460500,0.11,0.44,0.08,0.23,0.12,0.02,0.01,0.33,13039
11427,70108,458400,0.142,0.421,0.091,0.24,0.084,0.015,0.007,0.37,14967
11428,69330,407700,0.193,0.463,0.107,0.172,0.055,0.007,0.004,0.34,23021
11429,68890,384700,0.161,0.544,0.095,0.133,0.055,0.008,0.003,0.36,19296
11430,,,0.24,0.66,0,0.05,0.05,0,0,0.55,26
11432,50450,519000,0.23,0.35,0.08,0.21,0.1,0.03,0.01,0.38,28295
11433,42887,379700,0.251,0.516,0.071,0.107,0.048,0.005,0.002,0.39,21062
11434,59229,371900,0.149,0.554,0.087,0.138,0.063,0.008,0.002,0.35,18256
11435,53041,338100,0.23,0.41,0.08,0.18,0.07,0.02,0.01,0.35,35447
11436,62114,365500,0.193,0.562,0.071,0.117,0.052,0.003,0.002,0.36,22783
11451,,,None,None,None,None,None,None,None,,
11691,39409,448200,0.269,0.452,0.064,0.135,0.059,0.013,0.008,0.44,21185
11692,43354,355800,0.243,0.486,0.078,0.13,0.041,0.019,0.002,0.44,18566
11693,50570,323100,0.19,0.498,0.074,0.172,0.04,0.018,0.008,0.44,11950
11694,76944,623200,0.121,0.419,0.084,0.198,0.126,0.044,0.007,0.41,14944
11697,87636,525600,0.055,0.435,0.068,0.249,0.15,0.036,0.007,0.45,1838
